cluster,source,text
0,post,Kann man wirklich so gut als Quereinsteiger im Vertrieb arbeiten?
0,post,Kann man wirklich so gut als Quereinsteiger im Vertrieb arbeiten?
0,post,[Hiring] OTIS GmbH & Co. OHG sucht einen Mitarbeiter im Kundenservice-Center (m/w/d) Berlin - für Quereinsteiger
0,post,OTIS GmbH & Co. OHG sucht: Mitarbeiter/in im Kundenservicecenter Aufzugsbranche (m/w/d) Berlin - auch für Quereinsteiger
0,post,OTIS GmbH & Co. OHG sucht einen Mitarbeiter/in im Kundenservicecenter Aufzugsbranche (m/w/d) - auch für Quereinsteiger in Berlin
1,post,"Können für mich nachträgliche Kosten anfallen, wenn ich mit Hilfe eines Bildungsgutschein, eine Weiterbildung zum Schweißer mache, mich aber anschließend dazu entscheide Deutschland zu verlassen?"
1,post,"Können für mich nachträgliche Kosten anfallen, wenn ich mit Hilfe eines Bildungsgutschein, eine Weiterbildung zum Schweißer mache, mich aber anschließend dazu entscheide Deutschland zu verlassen?"
1,post,Warum kann man als Quereinsteiger mit notwendigen Fachkenntnissen keinen Job in der Frontend-Entwicklung in Deutschland finden? Ständig nur Absagen!!!!!!!!
1,post,Warum kann man als Quereinsteiger mit notwendigen Fachkenntnissen keinen Job in der Frontend-Entwicklung in Deutschland finden? Ständig nur Absagen!!!!!!!!
1,post,Warum kann man als Quereinsteiger mit notwendigen Fachkenntnissen keinen Job in der Frontend-Entwicklung in Deutschland finden? Ständig nur Absagen!!!!!!!!
2,post,Paralleles Teilzeit/Vollzeit-Studium der Wirtschaftsinformatik und Teilzeit-Weiterbildung zum Elektromeister
2,post,Paralleles Teilzeit/Vollzeit-Studium der Wirtschaftsinformatik und Teilzeit-Weiterbildung zum Elektromeister
2,post,Ausbildung starten oder als Quereinsteiger mit interner Weiterbildung in Führung gehen? (m31)
2,post,Ausbildung starten oder als Quereinsteiger mit interner Weiterbildung in Führung gehen? (m31)
2,post,Als Quereinsteiger auf Stellen die Ausbildung oder Studium Vorraussetzen bewerben?
3,post,Was tun? Abbruch Lehramtsstudium und Quereinstieg in den Bereich Personal?
3,post,Was tun? Abbruch Lehramtsstudium und Quereinstieg in den Bereich Personal?
3,post,"Viel Kündigungen/Personalwechsel kurz nach Quereinstieg, wie geht's weiter?"
3,post,"Viel Kündigungen/Personalwechsel kurz nach Quereinstieg, wie geht's weiter?"
3,post,"Früher Kaufmann, jetzt…. ? Selbstständigkeit oder Quereinstieg aus kaufmännischen Berufen heraus?"
4,post,Ich bin 24 und seit fast 1 Jahr arbeitslos und finde einfach GARKEINEN Job
4,post,Ich bin 24 und seit fast 1 Jahr arbeitslos und finde einfach GARKEINEN Job
4,post,"BAföG Frage: Wenn mein Vater zurzeit Arbeitslos ist, aber Mini-Job macht, trage ich ihn als Erwerbstätigen Arbeiter oder nicht Erwerbstätig ein?"
4,post,"Nach 1,5 Jahren arbeitslos fang ich im Januar wieder an mit arbeiten"
4,post,Werde 27 / Seit 04.2021 Arbeitslos und weiß nicht weiter.
